"Border Guard Post","Border crossing","Type of border crossing","Border Guard Unit","Date","Direction to / from Poland","Citizenship (code)","UE / Schengen","Number of persons (checked-in)","Number of people (evacuated)"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-01","arrival in Poland","BY","0","7","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-01","arrival in Poland","DE","UE","29","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-01","arrival in Poland","TR","0","2","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-01","arrival in Poland","UA","0","389","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-01","arrival in Poland","LV","UE","3","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-01","arrival in Poland","NL","UE","3","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-01","arrival in Poland","RU","0","4","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-01","arrival in Poland","EE","UE","2","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-01","arrival in Poland","NO","Schengen","4","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-01","arrival in Poland","CZ","UE","2","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-01","departure from Poland","BY","0","2","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-01","departure from Poland","DE","UE","9","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-01","departure from Poland","PT","UE","2","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-01","departure from Poland","UA","0","412","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-01","departure from Poland","FI","UE","1","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-01","departure from Poland","GE","0","2","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-01","departure from Poland","MD","0","3","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-01","departure from Poland","TR","0","2","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-01","departure from Poland","AR","0","1","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-01","departure from Poland","LT","UE","1","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-01","departure from Poland","LV","UE","1","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-01","departure from Poland","EE","UE","1","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-01","departure from Poland","RO","UE","1","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-01","departure from Poland","RU","0","1","0"
"Dorohusk","Dorohusk-Jagodzin","railway","Nadbuzanski","2022-01-01","arrival in Poland","KZ","0","1","0"
"Dorohusk","Dorohusk-Jagodzin","railway","Nadbuzanski","2022-01-01","arrival in Poland","UA","0","13","0"
"Dorohusk","Dorohusk-Jagodzin","railway","Nadbuzanski","2022-01-01","departure from Poland","UA","0","20","0"
"Hrubieszow","Zosin-Ustilug","road","Nadbuzanski","2022-01-01","arrival in Poland","CZ","UE","1","0"
"Hrubieszow","Zosin-Ustilug","road","Nadbuzanski","2022-01-01","arrival in Poland","CH","Schengen","1","0"
"Hrubieszow","Zosin-Ustilug","road","Nadbuzanski","2022-01-01","arrival in Poland","BG","UE","1","0"
"Hrubieszow","Zosin-Ustilug","road","Nadbuzanski","2022-01-01","arrival in Poland","MD","0","2","0"
"Hrubieszow","Zosin-Ustilug","road","Nadbuzanski","2022-01-01","arrival in Poland","RO","UE","4","0"
"Hrubieszow","Zosin-Ustilug","road","Nadbuzanski","2022-01-01","arrival in Poland","UA","0","194","0"
"Hrubieszow","Zosin-Ustilug","road","Nadbuzanski","2022-01-01","arrival in Poland","DE","UE","12","0"
"Hrubieszow","Zosin-Ustilug","road","Nadbuzanski","2022-01-01","departure from Poland","RO","UE","1","0"
"Hrubieszow","Zosin-Ustilug","road","Nadbuzanski","2022-01-01","departure from Poland","BG","UE","3","0"
"Hrubieszow","Zosin-Ustilug","road","Nadbuzanski","2022-01-01","departure from Poland","DE","UE","1","0"
"Hrubieszow","Zosin-Ustilug","road","Nadbuzanski","2022-01-01","departure from Poland","UA","0","161","0"
"Hrubieszow","Hrubieszow-Wlodzimierz Wolynski","railway","Nadbuzanski","2022-01-01","arrival in Poland","UA","0","6","0"
"Hrubieszow","Hrubieszow-Wlodzimierz Wolynski","railway","Nadbuzanski","2022-01-01","departure from Poland","UA","0","6","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-01","arrival in Poland","UA","0","247","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-01","arrival in Poland","LT","UE","48","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-01","arrival in Poland","LV","UE","12","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-01","arrival in Poland","HU","UE","1","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-01","arrival in Poland","BY","0","3","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-01","arrival in Poland","DE","UE","6","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-01","arrival in Poland","RO","UE","4","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-01","arrival in Poland","FR","0","2","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-01","arrival in Poland","GE","0","1","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-01","arrival in Poland","MD","0","3","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-01","arrival in Poland","BE","UE","3","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-01","departure from Poland","BY","0","3","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-01","departure from Poland","GB","0","1","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-01","departure from Poland","TR","0","1","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-01","departure from Poland","UA","0","465","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-01","departure from Poland","RO","UE","5","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-01","departure from Poland","PT","UE","6","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-01","departure from Poland","RU","0","1","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-01","departure from Poland","NN","0","1","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-01","departure from Poland","ES","UE","1","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-01","departure from Poland","LT","UE","4","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-01","departure from Poland","LV","UE","2","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-01","departure from Poland","IT","UE","3","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-01","departure from Poland","MD","0","6","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","arrival in Poland","ES","UE","2","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","arrival in Poland","IL","0","1","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","arrival in Poland","LV","UE","3","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","arrival in Poland","PT","UE","10","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","arrival in Poland","BG","UE","2","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","arrival in Poland","FR","0","6","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","arrival in Poland","MD","0","1","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","arrival in Poland","NL","UE","8","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","arrival in Poland","RU","0","5","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","arrival in Poland","BE","UE","1","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","arrival in Poland","DK","UE","1","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","arrival in Poland","SK","UE","1","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","arrival in Poland","AT","UE","1","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","arrival in Poland","TR","0","1","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","arrival in Poland","UA","0","1143","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","arrival in Poland","AZ","0","1","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","arrival in Poland","CY","UE","1","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","arrival in Poland","CZ","UE","31","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","arrival in Poland","RO","UE","35","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","arrival in Poland","SE","UE","1","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","arrival in Poland","BY","0","2","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","arrival in Poland","DE","UE","84","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","arrival in Poland","GB","0","2","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","arrival in Poland","LU","UE","1","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","departure from Poland","BE","UE","4","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","departure from Poland","BY","0","1","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","departure from Poland","DE","UE","36","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","departure from Poland","AT","UE","1","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","departure from Poland","CZ","UE","14","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","departure from Poland","HU","UE","4","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","departure from Poland","TR","0","5","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","departure from Poland","UA","0","1138","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","departure from Poland","DK","UE","2","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","departure from Poland","RO","UE","30","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","departure from Poland","ES","UE","1","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","departure from Poland","LT","UE","1","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","departure from Poland","FR","0","7","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","departure from Poland","IT","UE","5","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","departure from Poland","MD","0","5","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","departure from Poland","NL","UE","1","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","departure from Poland","BG","UE","1","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","departure from Poland","SK","UE","3","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","departure from Poland","CH","Schengen","3","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","departure from Poland","RU","0","1","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-01","departure from Poland","PT","UE","8","0"
"Medyka","Przemysl-Mosciska","railway","Bieszczadzki","2022-01-01","arrival in Poland","UA","0","123","0"
"Medyka","Przemysl-Mosciska","railway","Bieszczadzki","2022-01-01","arrival in Poland","SE","UE","1","0"
"Medyka","Przemysl-Mosciska","railway","Bieszczadzki","2022-01-01","arrival in Poland","BE","UE","1","0"
"Medyka","Przemysl-Mosciska","railway","Bieszczadzki","2022-01-01","arrival in Poland","CZ","UE","1","0"
"Medyka","Przemysl-Mosciska","railway","Bieszczadzki","2022-01-01","arrival in Poland","PT","UE","1","0"
"Medyka","Przemysl-Mosciska","railway","Bieszczadzki","2022-01-01","departure from Poland","BG","UE","1","0"
"Medyka","Przemysl-Mosciska","railway","Bieszczadzki","2022-01-01","departure from Poland","MD","0","1","0"
"Medyka","Przemysl-Mosciska","railway","Bieszczadzki","2022-01-01","departure from Poland","PT","UE","1","0"
"Medyka","Przemysl-Mosciska","railway","Bieszczadzki","2022-01-01","departure from Poland","UA","0","104","0"
"Medyka","Przemysl-Mosciska","railway","Bieszczadzki","2022-01-01","departure from Poland","CA","0","1","0"
"Medyka","Przemysl-Mosciska","railway","Bieszczadzki","2022-01-01","departure from Poland","TR","0","1","0"
"Medyka","Medyka-Szeginie","road","Bieszczadzki","2022-01-01","arrival in Poland","IT","UE","3","0"
"Medyka","Medyka-Szeginie","road","Bieszczadzki","2022-01-01","arrival in Poland","MD","0","1","0"
"Medyka","Medyka-Szeginie","road","Bieszczadzki","2022-01-01","arrival in Poland","DE","UE","16","0"
"Medyka","Medyka-Szeginie","road","Bieszczadzki","2022-01-01","arrival in Poland","LT","UE","1","0"
"Medyka","Medyka-Szeginie","road","Bieszczadzki","2022-01-01","arrival in Poland","PT","UE","1","0"
"Medyka","Medyka-Szeginie","road","Bieszczadzki","2022-01-01","arrival in Poland","UA","0","542","0"
"Medyka","Medyka-Szeginie","road","Bieszczadzki","2022-01-01","arrival in Poland","BY","0","2","0"
"Medyka","Medyka-Szeginie","road","Bieszczadzki","2022-01-01","arrival in Poland","HU","UE","3","0"
"Medyka","Medyka-Szeginie","road","Bieszczadzki","2022-01-01","arrival in Poland","RO","UE","14","0"
"Medyka","Medyka-Szeginie","road","Bieszczadzki","2022-01-01","arrival in Poland","BA","0","1","0"
"Medyka","Medyka-Szeginie","road","Bieszczadzki","2022-01-01","arrival in Poland","CZ","UE","14","0"
"Medyka","Medyka-Szeginie","road","Bieszczadzki","2022-01-01","arrival in Poland","GR","UE","2","0"
"Medyka","Medyka-Szeginie","road","Bieszczadzki","2022-01-01","departure from Poland","HU","UE","1","0"
"Medyka","Medyka-Szeginie","road","Bieszczadzki","2022-01-01","departure from Poland","RO","UE","9","0"
"Medyka","Medyka-Szeginie","road","Bieszczadzki","2022-01-01","departure from Poland","US","0","27","0"
"Medyka","Medyka-Szeginie","road","Bieszczadzki","2022-01-01","departure from Poland","CZ","UE","7","0"
"Medyka","Medyka-Szeginie","road","Bieszczadzki","2022-01-01","departure from Poland","IE","UE","6","0"
"Medyka","Medyka-Szeginie","road","Bieszczadzki","2022-01-01","departure from Poland","BY","0","1","0"
"Medyka","Medyka-Szeginie","road","Bieszczadzki","2022-01-01","departure from Poland","GB","0","1","0"
"Medyka","Medyka-Szeginie","road","Bieszczadzki","2022-01-01","departure from Poland","UA","0","488","0"
"Medyka","Medyka-Szeginie","road","Bieszczadzki","2022-01-01","departure from Poland","DE","UE","4","0"
"Medyka","Medyka-Szeginie","road","Bieszczadzki","2022-01-01","departure from Poland","FR","0","1","0"
"Medyka","Medyka-Szeginie","road","Bieszczadzki","2022-01-01","departure from Poland","LV","UE","5","0"
"Kroscienko","Kroscienko-Smolnica","road","Bieszczadzki","2022-01-01","arrival in Poland","RU","0","2","0"
"Kroscienko","Kroscienko-Smolnica","road","Bieszczadzki","2022-01-01","arrival in Poland","DE","UE","1","0"
"Kroscienko","Kroscienko-Smolnica","road","Bieszczadzki","2022-01-01","arrival in Poland","SK","UE","2","0"
"Kroscienko","Kroscienko-Smolnica","road","Bieszczadzki","2022-01-01","arrival in Poland","GB","0","1","0"
"Kroscienko","Kroscienko-Smolnica","road","Bieszczadzki","2022-01-01","arrival in Poland","UA","0","39","0"
"Kroscienko","Kroscienko-Smolnica","road","Bieszczadzki","2022-01-01","departure from Poland","UA","0","51","0"
"Lubaczow","Budomierz-Hruszew","road","Bieszczadzki","2022-01-01","arrival in Poland","RO","UE","1","0"
"Lubaczow","Budomierz-Hruszew","road","Bieszczadzki","2022-01-01","arrival in Poland","PT","UE","2","0"
"Lubaczow","Budomierz-Hruszew","road","Bieszczadzki","2022-01-01","arrival in Poland","CZ","UE","2","0"
"Lubaczow","Budomierz-Hruszew","road","Bieszczadzki","2022-01-01","arrival in Poland","FR","0","4","0"
"Lubaczow","Budomierz-Hruszew","road","Bieszczadzki","2022-01-01","arrival in Poland","DE","UE","2","0"
"Lubaczow","Budomierz-Hruszew","road","Bieszczadzki","2022-01-01","arrival in Poland","UA","0","212","0"
"Lubaczow","Budomierz-Hruszew","road","Bieszczadzki","2022-01-01","departure from Poland","NL","UE","1","0"
"Lubaczow","Budomierz-Hruszew","road","Bieszczadzki","2022-01-01","departure from Poland","UA","0","239","0"
"Dolhobyczow","Dolhobyczow-Uhrynow","road","Nadbuzanski","2022-01-01","arrival in Poland","DE","UE","4","0"
"Dolhobyczow","Dolhobyczow-Uhrynow","road","Nadbuzanski","2022-01-01","arrival in Poland","UA","0","50","0"
"Dolhobyczow","Dolhobyczow-Uhrynow","road","Nadbuzanski","2022-01-01","departure from Poland","MD","0","1","0"
"Dolhobyczow","Dolhobyczow-Uhrynow","road","Nadbuzanski","2022-01-01","departure from Poland","UA","0","76","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-02","arrival in Poland","PT","UE","3","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-02","arrival in Poland","BY","0","5","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-02","arrival in Poland","DE","UE","27","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-02","arrival in Poland","MK","0","1","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-02","arrival in Poland","TR","0","1","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-02","arrival in Poland","UA","0","1420","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-02","arrival in Poland","IL","0","3","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-02","arrival in Poland","LT","UE","15","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-02","arrival in Poland","LV","UE","10","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-02","arrival in Poland","NL","UE","4","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-02","arrival in Poland","RU","0","1","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-02","arrival in Poland","BE","UE","2","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-02","arrival in Poland","DK","UE","4","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-02","arrival in Poland","EE","UE","4","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-02","arrival in Poland","GE","0","1","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-02","arrival in Poland","MX","0","1","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-02","arrival in Poland","BG","UE","1","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-02","arrival in Poland","AZ","0","1","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-02","arrival in Poland","CZ","UE","10","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-02","arrival in Poland","HU","UE","1","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-02","departure from Poland","BE","UE","1","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-02","departure from Poland","BY","0","6","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-02","departure from Poland","DE","UE","8","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-02","departure from Poland","PT","UE","3","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-02","departure from Poland","UA","0","680","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-02","departure from Poland","GE","0","2","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-02","departure from Poland","IT","UE","1","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-02","departure from Poland","LT","UE","8","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-02","departure from Poland","LV","UE","3","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-02","departure from Poland","EE","UE","4","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-02","departure from Poland","RO","UE","2","0"
"Dorohusk","Dorohusk-Jagodzin","road","Nadbuzanski","2022-01-02","departure from Poland","NL","UE","2","0"
"Dorohusk","Dorohusk-Jagodzin","railway","Nadbuzanski","2022-01-02","arrival in Poland","UA","0","43","0"
"Dorohusk","Dorohusk-Jagodzin","railway","Nadbuzanski","2022-01-02","departure from Poland","UA","0","4","0"
"Hrubieszow","Zosin-Ustilug","road","Nadbuzanski","2022-01-02","arrival in Poland","CZ","UE","4","0"
"Hrubieszow","Zosin-Ustilug","road","Nadbuzanski","2022-01-02","arrival in Poland","SE","UE","2","0"
"Hrubieszow","Zosin-Ustilug","road","Nadbuzanski","2022-01-02","arrival in Poland","UA","0","372","0"
"Hrubieszow","Zosin-Ustilug","road","Nadbuzanski","2022-01-02","arrival in Poland","IT","UE","1","0"
"Hrubieszow","Zosin-Ustilug","road","Nadbuzanski","2022-01-02","arrival in Poland","RO","UE","1","0"
"Hrubieszow","Zosin-Ustilug","road","Nadbuzanski","2022-01-02","arrival in Poland","BY","0","3","0"
"Hrubieszow","Zosin-Ustilug","road","Nadbuzanski","2022-01-02","arrival in Poland","DE","UE","3","0"
"Hrubieszow","Zosin-Ustilug","road","Nadbuzanski","2022-01-02","departure from Poland","LT","UE","1","0"
"Hrubieszow","Zosin-Ustilug","road","Nadbuzanski","2022-01-02","departure from Poland","NL","UE","1","0"
"Hrubieszow","Zosin-Ustilug","road","Nadbuzanski","2022-01-02","departure from Poland","DE","UE","5","0"
"Hrubieszow","Zosin-Ustilug","road","Nadbuzanski","2022-01-02","departure from Poland","UA","0","308","0"
"Hrubieszow","Hrubieszow-Wlodzimierz Wolynski","railway","Nadbuzanski","2022-01-02","arrival in Poland","UA","0","6","0"
"Hrubieszow","Hrubieszow-Wlodzimierz Wolynski","railway","Nadbuzanski","2022-01-02","departure from Poland","UA","0","6","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-02","arrival in Poland","FR","0","1","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-02","arrival in Poland","MD","0","7","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-02","arrival in Poland","TR","0","3","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-02","arrival in Poland","UA","0","1018","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-02","arrival in Poland","RU","0","1","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-02","arrival in Poland","LT","UE","165","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-02","arrival in Poland","LV","UE","28","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-02","arrival in Poland","AM","0","1","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-02","arrival in Poland","BY","0","12","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-02","arrival in Poland","DE","UE","1","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-02","arrival in Poland","GB","0","1","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-02","arrival in Poland","NN","0","2","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-02","arrival in Poland","SE","UE","3","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-02","arrival in Poland","IT","UE","1","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-02","arrival in Poland","PT","UE","1","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-02","arrival in Poland","EE","UE","2","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-02","arrival in Poland","RO","UE","30","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-02","departure from Poland","EE","UE","4","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-02","departure from Poland","BY","0","2","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-02","departure from Poland","GB","0","1","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-02","departure from Poland","RO","UE","5","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-02","departure from Poland","PT","UE","1","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-02","departure from Poland","UA","0","885","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-02","departure from Poland","RU","0","2","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-02","departure from Poland","IL","0","1","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-02","departure from Poland","LT","UE","12","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-02","departure from Poland","LV","UE","3","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-02","departure from Poland","BG","UE","1","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-02","departure from Poland","FR","0","1","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-02","departure from Poland","GE","0","1","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-02","departure from Poland","IT","UE","1","0"
"Hrebenne","Hrebenne-Rawa Ruska","road","Nadbuzanski","2022-01-02","departure from Poland","MD","0","2","0"
"Korczowa","Korczowa-Krakowiec","road","Bieszczadzki","2022-01-02","arrival in Poland","ES","UE","2","0"
